PasswordLength,AverageGenerationTimeMs
10000,16
20000,8
30000,12
40000,14
50000,25
60000,21
70000,23
80000,26
90000,30
100000,35
110000,37
120000,45
130000,44
140000,54
150000,55
160000,53
170000,55
180000,59
190000,64
200000,66
210000,71
220000,73
230000,76
240000,79
250000,85
260000,88
270000,90
280000,92
290000,96
300000,100
310000,103
320000,106
330000,109
340000,112
350000,115
360000,121
370000,122
380000,127
390000,131
400000,133
410000,136
420000,139
430000,142
440000,146
450000,150
460000,162
470000,157
480000,160
490000,164
500000,168
510000,168
520000,172
530000,174
540000,180
550000,181
560000,185
570000,189
580000,194
590000,193
600000,199
610000,201
620000,203
630000,208
640000,210
650000,216
660000,221
670000,220
680000,228
690000,229
700000,234
710000,237
720000,239
730000,243
740000,245
750000,249
760000,253
770000,258
780000,260
790000,261
800000,267
810000,268
820000,272
830000,283
840000,282
850000,282
860000,294
870000,287
880000,311
890000,314
900000,305
910000,301
920000,316
930000,319
940000,319
950000,318
960000,319
970000,329
980000,330
990000,331
1000000,332
